name,athlete.sex,athlete.country,start_date_local,distance,achievement_count,type,kudos_count
"Mitro"""" :)",F,Ecuador,2014-08-27T15:55:26Z,21580.0,6,Ride,0
Ochtendrit,M,The Netherlands,2015-08-04T09:25:02Z,19092.8,0,Ride,0
Enough time for a quick and hot 14,M,United States,2015-05-17T14:38:04Z,23023.4,8,Ride,4
Ilkley Grassington Buckden and back,F,United Kingdom,2014-05-26T09:20:53Z,101702.0,11,Ride,6
Morning Short hike,F,United States,2013-12-19T09:05:16Z,2739.8,0,Hike,0
Evening Ride,M,United Kingdom,2015-09-11T18:36:22Z,13056.7,0,Ride,0
Afternoon Ride,M,Lithuania,2015-10-13T17:15:35Z,24438.8,0,Ride,0
Afternoon Run,F,United States,2014-04-16T15:24:56Z,9447.6,4,Run,0
Morning Ride,F,United Kingdom,2016-01-19T08:16:35Z,0.0,0,Ride,1
Afternoon Run,F,United Kingdom,2014-09-11T16:57:58Z,4814.0,3,Run,0
Foggy Fouter about the back lanes,M,United Kingdom,2015-10-01T19:30:10Z,33632.8,5,Ride,3
F1 MTB,F,United Kingdom,2015-04-18T15:15:58Z,15818.6,3,Ride,1
Feels like summer run,F,Canada,2015-05-19T16:57:11Z,16014.5,13,Run,0
Lunch Run,F,United Kingdom,2016-02-22T12:49:50Z,3157.1,0,Run,0
Sphere to Sundale Bridge,M,Australia,2014-08-03T06:17:10Z,10628.8,2,Ride,0
Vuelta en bici por la tarde,M,Spain,2015-01-08T15:52:40Z,62910.9,8,Ride,0
Parkrun 5k,M,Australia,2015-10-10T08:00:00Z,5000.0,0,Run,0
Commute - - day 1 of 'puncture-proof' tyres - bit slower than usual,M,United Kingdom,2015-01-26T07:09:13Z,28765.1,0,Ride,0
Morning Ride,M,Australia,2016-01-23T07:00:23Z,69559.8,8,Ride,11
When the mind is willing but the body says meh...Taught RPM,M,United States,2015-05-13T17:30:00Z,32186.9,0,Ride,9
Lunch Run,M,United States,2015-10-22T11:57:10Z,41926.3,1,Run,0
Morning Ride,F,United States,2014-07-07T06:47:27Z,43609.3,4,Ride,0
Burg Lahnstein,F,Germany,2015-03-04T10:55:02Z,25781.1,6,Ride,1
07/14/2015 SS with Turk strides 45,F,United States,2015-07-14T10:27:15Z,8371.3,0,Run,6
