thread_id,title,author_name,author_geo,registered_user,comment_order,comment_date,post_content,judge1_title,judge1_count,judge2_title,judge2_count,judge3_title,judge3_count,score
1,Norse distributes flier promoting executing homeless,Give Up Santa Cruz,"Santa Cruz, CA",False,#1,25-Oct-13,"https://www.indybay.org/newsitems/2013/10/23/... His words, not mine.",Interesting,1,Incendiary,1,Disagree,1,Negative
1,Norse distributes flier promoting executing homeless,Bud,"Santa Cruz, CA",False,#2,25-Oct-13,"  Give Up Santa Cruz wrote:   https://www.indybay.org/newsitems/2013/10/23/18745324.phpHis words, not mine.   Rather than click a link and give Indybay more visitors just let it be what it is: A theatrical display of ignorance.",Brilliant,3,Agree,3,Helpful,3,Positive
1,Norse distributes flier promoting executing homeless,DBS,"Cupertino, CA",False,#3,25-Oct-13,"It's really too bad that Robert doesn't have his pathetic fliers printed on toilet paper.Then for the first time, he would have done something to help the homeless he pretends to care so much about!!",Brilliant,4,Agree,4,Helpful,4,Positive
1,Norse distributes flier promoting executing homeless,jeff helms,"Walnut Creek, CA",False,#4,25-Oct-13,"  Give Up Santa Cruz wrote:   https://www.indybay.org/newsitems/2013/10/23/18745324.phpHis words, not mine.   Don't you think its kinda of ironic people think they can attack and shove aside someone who is poor?--most egged on by the prostitution racket?? Where would these prostitutes be without prostitution?? HOMELESS!--there's the ""get the tweakers"" crowd also--and ""tweakers"" are people also and might turn into a fascist movement etc.--we all know what a horrible monster fascism is. The anti zoonotic crowd has legitimate complaint along with private property owners. The anti-drug crowd needs to look at the std/drug epidemic and what's causing it--the foreign organized drug fronts and who set up and supported foreign organized drug fronts: The ""wash narcotic money in real estate"" rackets who pretty much made the ""homelessness"" and ""crime"" and std rates that are running our society in the ground with HUGE std/drug healthcare bills.",Spam,4,Clueless,4,Nuts,4,Negative
1,Norse distributes flier promoting executing homeless,jeff helms,"Walnut Creek, CA",False,#5,25-Oct-13,"  Give Up Santa Cruz wrote:   https://www.indybay.org/newsitems/2013/10/23/18745324.phpHis words, not mine.   Robert is a solid american with solid american values and standards- beckey is twisted criminal pretty much--I think your confusing robert with beckey.",Spam,3,Clueless,3,Nuts,3,Negative
1,Norse distributes flier promoting executing homeless,jeff helms,"Walnut Creek, CA",False,#6,25-Oct-13,Those people that are using the homeless to racketeer property etc.--really want this and could care less about the county etc. http://advrider.com/forums/showthread.php...,Spam,3,Clueless,3,Nuts,3,Negative
1,Norse distributes flier promoting executing homeless,Jacobi Burst,"Santa Cruz, CA",False,#7,25-Mar-14,http://www.huffingtonpost.com/2014/03/24/jame... Looks like Roberts flyer IS coming true. What will Leigh M say now? De holy pr0phet Norsemon..my vein of information and guidence thru bigit task farze h3ll!...tread lightly TBSC trolls.,Spam,2,Nuts,2,Clueless,1,Negative
1,Norse distributes flier promoting executing homeless,Helms-enator,United States,False,#8,25-Mar-14,"These punk as-s wannabe's- think they can push americans around while being dependent on the county employee healthcare plan-weak as fk , most are wet or near wet----one wino could take them out in 4 seconds---looks like with the new healthcare reforms--their hitting the medi-cal estate recovery plan real soon anyways. That means their property and materials have to go to pay for their std/drug healthcare-which means homelessness-poverty etc.----Is a american going to push them around while they have financial difficulties? Hell no.",Spam,2,Clueless,2,Nuts,2,Negative
1,Norse distributes flier promoting executing homeless,Helms-enator,United States,False,#9,25-Mar-14,When their in the expensive apartment after losing the house that they illegally racketeered property(washing narcotic money in real estate) for due to the medi-cal estate recovery plan-and their wife relapse's and their standing outside with a confused look on their face's---I'll come by and give them a little debbie snack cake.,Spam,2,Clueless,2,Nuts,2,Negative
1,Norse distributes flier promoting executing homeless,Touch of Reality,"Hayward, CA",False,#10,25-Mar-14,  Bud wrote:   <quoted text>Rather than click a link and give Indybay more visitors just let it be what it is: A theatrical display of ignorance.   IndyCrap-Santa Cruz: No donations since October 2013. You get what you pay for!,Funny,1,Brilliant,1,Agree,1,Positive
